epoch,accuracy,loss,val_accuracy,val_loss
0,0.4677553176879883,1.198387622833252,0.5533141493797302,1.0883444547653198
1,0.6559645533561707,0.8416576981544495,0.5648415088653564,1.08444344997406
2,0.7276501655578613,0.6858648061752319,0.5734870433807373,1.098179817199707
3,0.7915859222412109,0.549437403678894,0.5244956612586975,1.2135908603668213
4,0.8355937004089355,0.44216662645339966,0.5763688683509827,1.2341936826705933
5,0.8563520908355713,0.38110077381134033,0.5273775458335876,1.3456482887268066
6,0.8865209221839905,0.30686044692993164,0.5475504398345947,1.5220811367034912
7,0.900636613368988,0.2723601758480072,0.5619596838951111,1.60901939868927
8,0.924162745475769,0.22121113538742065,0.5244956612586975,1.8545002937316895
9,0.9153058528900146,0.22094066441059113,0.5619596838951111,1.6910991668701172
10,0.9382784366607666,0.18426011502742767,0.5331411957740784,1.9552549123764038
11,0.9451978802680969,0.16338039934635162,0.5504322648048401,1.9312635660171509
12,0.9451978802680969,0.15442997217178345,0.5763688683509827,2.0806663036346436
13,0.9565458297729492,0.12974266707897186,0.5360230803489685,2.09470796585083
14,0.9582064747810364,0.12583696842193604,0.5273775458335876,2.3933000564575195
15,0.9626349210739136,0.1156771257519722,0.530259370803833,2.289747714996338
16,0.971491813659668,0.08929557353258133,0.5561959743499756,2.3516812324523926
17,0.9695543646812439,0.08884723484516144,0.5533141493797302,2.381786823272705
18,0.9703847169876099,0.08935236185789108,0.530259370803833,2.4586801528930664
19,0.974259614944458,0.08207684755325317,0.5244956612586975,2.7011806964874268
20,0.9623581767082214,0.11986052989959717,0.5475504398345947,2.4114065170288086
21,0.971491813659668,0.08825839310884476,0.559077799320221,2.4075546264648438
22,0.9695543646812439,0.09289833158254623,0.5389049053192139,2.4051437377929688
23,0.9587600231170654,0.11238551139831543,0.559077799320221,2.3954262733459473
24,0.9703847169876099,0.09055779129266739,0.5561959743499756,2.508187770843506
